smiles,log_vp(pa),split
CCCCCCCCCOCCCCCCCCC,-2.154258565,train
CCC(=O)c1ccc(N)cc1,-1.174400978,train
CCCCCCCCc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,-5.875104695,train
FC(F)(F)C(F)(F)COC(F)(F)C(F)(F)C(F)(F)F,4.214,train
Cc1ccccc1-c1ccccc1,0.425925301,train
CCCCCCCCBr,1.687593462,train
C=C1C=C[C@H](C(C)C)CC1,2.316,train
FC(Cl)C(F)(F)Br,4.56,train
CCCCCCCCCCCCCC(=O)OC,-1.184753852,train
CCOC(F)(F)C(F)Cl,3.889,train
NC(=S)C(N)=S,-3.659879513,train
CCCCS,3.759912607,train
Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1,-1.81,train
FC(F)C(F)(F)COC(F)(F)C(F)F,3.741,train
[N-]=[N+]=NCCO,1.85,train
N=C(N)N,2.623205859,train
ClC(Cl)Br,3.821932655,train
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,-8.133953096,train
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-17.707,train
CNCCC(Oc1cccc2ccccc12)c1cccs1,-4.803222688,train
FCC(F)(F)OCC(F)(F)F,4.292,train
Cc1ccc(C(=O)O)cc1,-0.882125375,train
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-3.161614152,train
CCCCCC[C@@H](O)CC,1.177,train
O=C(O)c1cc(O)c(O)c(O)c1,-4.795923449,train
Clc1ccc(Oc2ccccc2)cc1,-0.602767099,train
CCCC(=O)c1ccccc1,1.027985292,train
CCCON=O,4.631,train
CC(C)c1cccc(C(C)C)c1,1.721805411,train
COc1coc(CSP(=O)(OC)OC)cc1=O,-3.119992429,train
F[C@@H](Cl)C(F)(F)Br,4.56,train
Ic1ccccc1,2.14765104,train
COCCO,3.064044788,train
O=C(CCl)Nc1ccccc1,-2.238616799,train
CN1BNBNB1,4.039,train
CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,-8.389383269,train
BrC1CCCCC1Br,1.494,train
O=C1OCc2c(Cl)c(Cl)c(Cl)c(Cl)c21,-5.522910178,train
O=C(O)CN(CC(=O)O)CC(=O)O,-5.945685769,train
COP(=S)(OC)SCC(=O)N(C)C=O,-3.946193651,train
Clc1cccc(-c2cc(Cl)c(Cl)cc2Cl)c1,-2.184,train
Clc1ccccc1-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-3.533,train
CCCCCCCC(=O)O,-0.358312752,train
CC1=CC(=O)CC(C)(C)C1,1.714616715,train
CCCCC(C)(C)O,2.44170182,train
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,-2.274,train
CC(C)(C)c1ccccc1[N+](=O)[O-],0.68,train
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1,-2.136,train
NC(CS)C(=O)O,-3.737908883,train
c1ccncc1,3.414314534,train
NC(=O)N1c2ccccc2C=Cc2ccccc21,-4.610286872,train
CC1(C)NC(=O)NC1=O,-3.427946664,train
CC(=O)OC(C)CC(C)C,2.690934805,train
CCCCCCCCCCCF,1.44505821,train
CC(CO[N+](=O)[O-])O[N+](=O)[O-],1.703540361,train
FC(F)CC(F)(OC(F)(F)F)C(F)F,4.571,train
O=C(Cl)CCC(=O)Cl,1.692849425,train
C=Cc1ccc(Cl)cc1,2.035872725,train
O=C(O)C(Br)(Br)Br,-1.427946664,train
CCNc1nc(NC(C)C)nc(SC)n1,-3.437501611,train
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1.440902306,train
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-3.443476006,train
CCOC(=O)C1=NN(c2ccc(Cl)cc2Cl)C(C)(C(=O)OCC)C1,-5.200220867,train
CCCCCCC(CCCCC)c1ccccc1,-1.108691848,train
C=C(C)C(=O)OC(=O)C(=C)C,3.070856009,train
